Z,θ,R,X,f,Re,Ri,Cm
+4.663029702E+02,-2.337089868E-01,453.6261202136415,107.98982858242219,42,668,973,4.73
+4.640193268E+02,-2.315110292E-01,451.63966372191317,106.46853900135186,43,668,973,4.73
+4.618373338E+02,-2.292863076E-01,449.7505209757571,104.967574867326,44,668,973,4.73
+4.597549900E+02,-2.270442233E-01,447.95583398495904,103.49020064112325,45,668,973,4.73
+4.577687120E+02,-2.247930899E-01,446.2513652646355,102.03878030233285,46,668,973,4.73
+4.558646956E+02,-2.225364025E-01,444.6234335364083,100.61124710873908,47,668,973,4.73
+4.540510379E+02,-2.202768902E-01,443.0797964403957,99.21007511540724,48,668,973,4.73
+4.523142975E+02,-2.180160469E-01,441.60733317669394,97.83244353222989,49,668,973,4.73
+4.506507994E+02,-2.157690005E-01,440.20112717208605,96.48373249560746,50,668,973,4.73
+4.490610970E+02,-2.135236393E-01,438.8630574038341,95.15821396496699,51,668,973,4.73
+4.475390840E+02,-2.112949709E-01,437.58587977299953,93.86069214985066,52,668,973,4.73
+4.460757602E+02,-2.090792710E-01,436.361316432466,92.587177078325,53,668,973,4.73
+4.446788040E+02,-2.068807822E-01,435.1966455491315,91.34067237356,54,668,973,4.73
+4.433384579E+02,-2.047053794E-01,434.0819574872069,90.12126517767445,55,668,973,4.73
+4.420542819E+02,-2.025416286E-01,433.0180156720951,88.92348536537405,56,668,973,4.73
+4.408220378E+02,-2.004105421E-01,431.99895523420565,87.75518039807909,57,668,973,4.73
+4.396373863E+02,-1.982956890E-01,431.0221415600754,86.60799569128562,58,668,973,4.73
+4.385034190E+02,-1.962094887E-01,430.08967569326137,85.48753907298298,59,668,973,4.73
+4.374106202E+02,-1.941450374E-01,429.1929755564209,84.38862717673591,60,668,973,4.73
+4.363594690E+02,-1.921102785E-01,428.33198376553946,83.31445174421789,61,668,973,4.73
+4.353508596E+02,-1.900944322E-01,427.50862177861313,82.26025321751462,62,668,973,4.73
+4.343814442E+02,-1.881087874E-01,426.71880395417105,81.22992931918253,63,668,973,4.73
+4.334473344E+02,-1.861513642E-01,425.95901577199277,80.22162165539055,64,668,973,4.73
+4.325474912E+02,-1.842217666E-01,425.22840107934144,79.23470867568604,65,668,973,4.73
+4.316835240E+02,-1.823166079E-01,424.5289358949632,78.26779338239211,66,668,973,4.73
+4.308515437E+02,-1.804395656E-01,423.8566268802989,77.32148833492595,67,668,973,4.73
+4.300485305E+02,-1.785886210E-01,423.2087769352099,76.39417327396883,68,668,973,4.73
+4.292740706E+02,-1.767683665E-01,422.58474100345404,75.48751128854009,69,668,973,4.73
+4.285248482E+02,-1.749757916E-01,421.9815966596693,74.59944775525624,70,668,973,4.73
+4.278080494E+02,-1.732068706E-01,421.4068234633574,73.72934470043532,71,668,973,4.73
+4.271119177E+02,-1.714687793E-01,420.84841212825773,72.87800937522715,72,668,973,4.73
+4.264394462E+02,-1.697522302E-01,420.31008488978387,72.0418893096605,73,668,973,4.73
+4.257909536E+02,-1.680678313E-01,419.79148064001294,71.22533923866588,74,668,973,4.73
+4.251635806E+02,-1.664037932E-01,419.2907140817553,70.42277581453615,75,668,973,4.73
+4.245601418E+02,-1.647709475E-01,418.80987880827666,69.63906531418066,76,668,973,4.73
+4.239758123E+02,-1.631594533E-01,418.3449888841325,68.86914905078986,77,668,973,4.73
+4.234085405E+02,-1.615785292E-01,417.8934601090748,68.11643095762787,78,668,973,4.73
+4.228612013E+02,-1.600156397E-01,417.4590613147125,67.37601718058272,79,668,973,4.73
+4.223332975E+02,-1.584815644E-01,417.04064179561516,66.65221127558279,80,668,973,4.73
+4.218213813E+02,-1.569723859E-01,416.635134664096,65.94271972909979,81,668,973,4.73
+4.213253308E+02,-1.554835435E-01,416.24278465089344,65.24552551554315,82,668,973,4.73
+4.208407444E+02,-1.540205700E-01,415.85894165845934,64.56216221481614,83,668,973,4.73
+4.203773940E+02,-1.525803884E-01,415.49352431557674,63.89275888590555,84,668,973,4.73
+4.199262409E+02,-1.511640570E-01,415.1375925124693,63.23627977162928,85,668,973,4.73
+4.194881417E+02,-1.497656702E-01,414.7924202172209,62.59032798491877,86,668,973,4.73
+4.190614705E+02,-1.483952591E-01,414.45582325616846,61.95874939565839,87,668,973,4.73
+4.186492092E+02,-1.470408708E-01,414.1315467339046,61.33695756694414,88,668,973,4.73
+4.182524153E+02,-1.457115479E-01,413.8201284140676,60.72877591099852,89,668,973,4.73
+4.178618413E+02,-1.443980534E-01,413.513029148553,60.12897087938813,90,668,973,4.73
+4.174860481E+02,-1.431116519E-01,413.218085515288,59.54338049889042,91,668,973,4.73
+4.171205566E+02,-1.418418335E-01,412.9315406516427,58.966952383132146,92,668,973,4.73
